O	Na	Mg	Al	Si	K	Ca	Ti	Fe
3.083	0.044	0.088	0.264	1.053	0.055	0.173	0.011	0.232
2.968	0.065	0.103	0.399	0.928	0.048	0.111	0.018	0.16
3.11	0.157	0.021	0.461	1.009	0.049	0.122	0.044	0.048
2.909	0.095	0.108	0.315	0.903	0.048	0.257	0	0.139
2.825	0.091	0.165	0.332	0.805	0.024	0.234	0.017	0.154
3.373	0.149	0.147	0.396	0.96	0.045	0.259	0.04	0.237
3.221	0.159	0.154	0.294	0.967	0.046	0.237	0.023	0.207
3.288	0.053	0.164	0.377	1.001	0.041	0.158	0.034	0.258
3.137	0.116	0.104	0.432	1.026	0.043	0.191	0.031	0
3.335	0.044	0.162	0.314	1.078	0.038	0.235	0.013	0.212
2.87	0.028	0.06	0.398	0.894	0.072	0.059	0	0.231
2.875	0.053	0.024	0.336	0.946	0.033	0.296	0.005	0.096
3.182	0.059	0.127	0.399	0.966	0.022	0.158	0.005	0.231
2.969	0.104	0.111	0.432	0.914	0.058	0.169	0.016	0.07
3.133	0.076	0.153	0.295	0.972	0.018	0.117	0.062	0.294
2.998	0.047	0.063	0.364	1.006	0.034	0.256	0.035	0.009
2.813	0.106	0.114	0.252	0.97	0.055	0.24	0.005	0.038
3.251	0.063	0.023	0.4	1.035	0.024	0.229	0.005	0.228
3.093	0.061	0.115	0.37	1.048	0.026	0.102	0.016	0.135
2.932	0.085	0.122	0.36	0.972	0.043	0.146	0.029	0.052
2.964	0.099	0.135	0.39	0.975	0.026	0.123	0.009	0.086
3.02	0.031	0.148	0.326	0.989	0.032	0.245	0.016	0.071
3.268	0.098	0.138	0.497	0.94	0.023	0.081	0.01	0.252
2.808	0.127	0.112	0.294	0.918	0.04	0.126	0.008	0.137
3.284	0.03	0.069	0.428	0.992	0.03	0.248	0.007	0.2
3.024	0.11	0.11	0.22	1.028	0.061	0.265	0	0.175
3.312	0.033	0.162	0.393	1.06	0.027	0.108	0	0.26
2.795	0.059	0.107	0.347	0.955	0.055	0.049	0.012	0.109
